Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
etoh60_1_1	509.771	46.00810632481855	9762.0	0.09616705591427888	37.0	101.0	9.090909090909092	21837.0		
etoh60_1_2				0.13280212483400078	37.0	101.0	0.0	21837.0		
etoh60_2_1	398.171	46.06333197037845	10139.0	0.12829020128289415	37.0	101.0	9.090909090909092	22605.0		
etoh60_2_2				0.14156160141561713	37.0	101.0	9.090909090909092	22605.0		
etoh60_3_1	346.716	49.56678558826989	12643.0	0.1447398491658447	37.0	101.0	9.090909090909092	26254.0		
etoh60_3_2				0.16378456616135395	37.0	101.0	9.090909090909092	26254.0		
ref_1_1	322.236	45.81076327822722	6512.0	0.04769367036860217	37.0	101.0	9.090909090909092	14677.0		
ref_1_2				0.05450705184982496	37.0	101.0	0.0	14677.0		
ref_2_1	602.172	42.444992699259856	8430.0	0.08810572687224294	37.0	101.0	9.090909090909092	20430.0		
ref_2_2				0.12236906510034373	37.0	101.0	0.0	20430.0		
ref_3_1	293.94	46.95155357282617	5999.0	0.03802859750533116	37.0	101.0	9.090909090909092	13148.0		
ref_3_2				0.06084575600851849	37.0	101.0	9.090909090909092	13148.0		
salmon.etoh60_1									80.25261570364785	17028
salmon.etoh60_2									81.39112262050793	17915
salmon.etoh60_3									81.14243148939508	20697
salmon.ref_1									82.15265564544495	11678
salmon.ref_2									83.71179698907406	16626
salmon.ref_3									81.31799326915551	10390
salmon.temp33_1									83.65302749536735	16703
salmon.temp33_2									83.28449566972716	12790
salmon.temp33_3									85.88229846737973	18548
temp33_1_1	286.644	43.88741423348525	8763.0	0.1019763997474854	37.0	101.0	9.090909090909092	20593.0		
temp33_1_2				0.10683241878308536	37.0	101.0	9.090909090909092	20593.0		
temp33_2_1	333.443	45.97903236309175	7061.0	0.06337537233031298	37.0	101.0	9.090909090909092	15779.0		
temp33_2_2				0.05703783509729021	37.0	101.0	9.090909090909092	15779.0		
temp33_3_1	638.827	42.422558688706765	9162.0	0.09892531138989114	37.0	101.0	9.090909090909092	22239.0		
temp33_3_2				0.12590494176896527	37.0	101.0	9.090909090909092	22239.0		
