Module	Section	Sample Name	Source
Salmon	all_sections	salmon.temp33_3	/root/snakemake_data/yeast/salmon.temp33_3/libParams/flenDist.txt
Salmon	all_sections	salmon.etoh60_1	/root/snakemake_data/yeast/salmon.etoh60_1/libParams/flenDist.txt
Salmon	all_sections	salmon.ref_2	/root/snakemake_data/yeast/salmon.ref_2/libParams/flenDist.txt
Salmon	all_sections	salmon.etoh60_3	/root/snakemake_data/yeast/salmon.etoh60_3/libParams/flenDist.txt
Salmon	all_sections	salmon.temp33_1	/root/snakemake_data/yeast/salmon.temp33_1/libParams/flenDist.txt
Salmon	all_sections	salmon.ref_1	/root/snakemake_data/yeast/salmon.ref_1/libParams/flenDist.txt
Salmon	all_sections	salmon.etoh60_2	/root/snakemake_data/yeast/salmon.etoh60_2/libParams/flenDist.txt
Salmon	all_sections	salmon.temp33_2	/root/snakemake_data/yeast/salmon.temp33_2/libParams/flenDist.txt
Salmon	all_sections	salmon.ref_3	/root/snakemake_data/yeast/salmon.ref_3/libParams/flenDist.txt
Kallisto	all_sections	etoh60_2_1	/root/snakemake_data/yeast/kallisto.etoh60_2/kallisto_quant.log
Kallisto	all_sections	etoh60_3_1	/root/snakemake_data/yeast/kallisto.etoh60_3/kallisto_quant.log
Kallisto	all_sections	temp33_1_1	/root/snakemake_data/yeast/kallisto.temp33_1/kallisto_quant.log
Kallisto	all_sections	etoh60_1_1	/root/snakemake_data/yeast/kallisto.etoh60_1/kallisto_quant.log
Kallisto	all_sections	temp33_3_1	/root/snakemake_data/yeast/kallisto.temp33_3/kallisto_quant.log
Kallisto	all_sections	ref_1_1	/root/snakemake_data/yeast/kallisto.ref_1/kallisto_quant.log
Kallisto	all_sections	ref_3_1	/root/snakemake_data/yeast/kallisto.ref_3/kallisto_quant.log
Kallisto	all_sections	ref_2_1	/root/snakemake_data/yeast/kallisto.ref_2/kallisto_quant.log
Kallisto	all_sections	temp33_2_1	/root/snakemake_data/yeast/kallisto.temp33_2/kallisto_quant.log
FastQC	all_sections	etoh60_2_2	/root/snakemake_data/yeast/reads.etoh60_2_2_fastqc.zip
FastQC	all_sections	temp33_1_1	/root/snakemake_data/yeast/reads.temp33_1_1_fastqc.zip
FastQC	all_sections	ref_3_2	/root/snakemake_data/yeast/reads.ref_3_2_fastqc.zip
FastQC	all_sections	etoh60_1_1	/root/snakemake_data/yeast/reads.etoh60_1_1_fastqc.zip
FastQC	all_sections	ref_3_1	/root/snakemake_data/yeast/reads.ref_3_1_fastqc.zip
FastQC	all_sections	ref_2_1	/root/snakemake_data/yeast/reads.ref_2_1_fastqc.zip
FastQC	all_sections	etoh60_3_2	/root/snakemake_data/yeast/reads.etoh60_3_2_fastqc.zip
FastQC	all_sections	temp33_2_2	/root/snakemake_data/yeast/reads.temp33_2_2_fastqc.zip
FastQC	all_sections	ref_1_1	/root/snakemake_data/yeast/reads.ref_1_1_fastqc.zip
FastQC	all_sections	etoh60_1_2	/root/snakemake_data/yeast/reads.etoh60_1_2_fastqc.zip
FastQC	all_sections	etoh60_3_1	/root/snakemake_data/yeast/reads.etoh60_3_1_fastqc.zip
FastQC	all_sections	ref_2_2	/root/snakemake_data/yeast/reads.ref_2_2_fastqc.zip
FastQC	all_sections	temp33_2_1	/root/snakemake_data/yeast/reads.temp33_2_1_fastqc.zip
FastQC	all_sections	etoh60_2_1	/root/snakemake_data/yeast/reads.etoh60_2_1_fastqc.zip
FastQC	all_sections	ref_1_2	/root/snakemake_data/yeast/reads.ref_1_2_fastqc.zip
FastQC	all_sections	temp33_3_1	/root/snakemake_data/yeast/reads.temp33_3_1_fastqc.zip
FastQC	all_sections	temp33_1_2	/root/snakemake_data/yeast/reads.temp33_1_2_fastqc.zip
FastQC	all_sections	temp33_3_2	/root/snakemake_data/yeast/reads.temp33_3_2_fastqc.zip
